SKU,Inventory,PRICE,DISCONTINUED,Active,Name,subsku,upc,inventory parent
"PTCH-JTSP100-SW","146","0.9900",,Inactive,"Fern Faux Silk Taffeta Swatch","PTCH-JTSP100-SW","799665812836","146"
"PTCH-JTSP202-SW","144","0.9900",,Inactive,"Flamingo Pink Faux Silk Taffeta Swatch","PTCH-JTSP202-SW","799665823917","144"
"SHCH-EMB20131B-SW","168","0.9900",,Inactive,"Florentina Silver Embroidered Sheer Swatch","SHCH-EMB20131B-SW","799418015965","168"
"SHCH-EMB20131A-SW","176","0.9900",,Inactive,"Florentina White Embroidered Sheer Swatch","SHCH-EMB20131A-SW","799418015934","176"
"PTCH-JTSP203-SW","150","0.9900",,Inactive,"Fuchsia Rose Faux Silk Taffeta Swatch","PTCH-JTSP203-SW","799665823993","150"
"SHCH-EMB20138-SW","170","0.9900",,Inactive,"Gia Gold Embroidered Sheer Swatch","SHCH-EMB20138-SW","799418016320","170"
"PTCH-JTSP206-SW","23","0.9900",,Inactive,"Gold Nugget Faux Silk Taffeta Swatch","PTCH-JTSP206-SW","799665824235","23"
"PTCH-JTSP005-SW","30","0.9900",,Inactive,"Graphite Faux Silk Taffeta Swatch","PTCH-JTSP005-SW","799665812812","30"
"PTCH-JTSP205-SW","127","0.9900",,Inactive,"Harvest Orange Faux Silk Taffeta Swatch","PTCH-JTSP205-SW","799665824150","127"
"PTCH-JTSP204-SW","152","0.9900",,Inactive,"Hollywood Red Faux Silk TaffetaSwatch","PTCH-JTSP204-SW","799665824075","152"
"PRTW-D25-SW","34","0.9900",,Inactive,"Honeycomb Printed Cotton Swatch","PRTW-D25-SW","799665823139","34"
"PRTW-D24B-SW","35","0.9900",,Inactive,"Ikat Black Printed Cotton Swatch","PRTW-D24B-SW","799665823054","35"
"PRTW-D24A-SW","35","0.9900",,Inactive,"Ikat Blue Printed Cotton Swatch","PRTW-D24A-SW","799665822972","35"
"PRTW-D12-SW","33","0.9900",,Inactive,"Impressions Grey Printed Cotton Swatch","PRTW-D12-SW","799665827991","33"
"PRTW-D11-SW","90","0.9900",,Inactive,"Isles Mustard Printed Cotton Swatch","PRTW-D11-SW","799665828035","90"
"PRTW-D13-SW","0","0.9900",,Inactive,"Jakarta Khaki Printed Cotton Swatch","PRTW-D13-SW","799665827595","0"
"SHCH-EMBOCS3293-SW","34","0.9900",,Inactive,"Juliette Ivory Embroidered Sheer Swatch","SHCH-EMBOCS3293-SW","799418016115","34"
"DIS-ID1-SW","26","0.9900",,Active,"Lily White Textured Dupioni Silk Swatch","DIS-ID1-SW","797734449044","26"
"SHCH-EMBOCS4084-SW","34","0.9900",,Inactive,"Lunetta Taupe Gold Embroidered Sheer Swatch","SHCH-EMBOCS4084-SW","799418016177","34"
"PRTW-D28-SW","34","0.9900",,Inactive,"Marabella Printed Cotton Swatch","PRTW-D28-SW","799665823214","34"
"PTSCH12-SW","27","0.0000",,Inactive,"Marin Faux Silk Taffeta Stripe Swatch","PTSCH12-SW","799665815554","27"
"PRTW-D02-SW","34","0.9900",,Inactive,"Mayan Teal Printed Cotton Swatch","PRTW-D02-SW","799665827793","34"
"PRTW-D23-SW","33","0.9900",,Inactive,"Mecca Printed Cotton Swatch","PRTW-D23-SW","799665826871","33"
"PRTW-D20-SW","34","0.9900",,Inactive,"Medina Printed Cotton Swatch","PRTW-D20-SW","799665826635","34"
"PRTW-D06B-SW","34","0.9900",,Inactive,"Nairobi Denim Printed CottonSwatch","PRTW-D06B-SW","799665827830","34"
"PRTW-D06A-SW","35","0.9900",,Inactive,"Nairobi Desert Printed Cotton Swatch","PRTW-D06A-SW","799665827878","35"
"DIS-ID221-SW","0","0.9900",,Active,"Navy Textured Dupioni Silk Swatch","DIS-ID221-SW","799665810917","0"
"PRTW-D01-SW","35","0.9900",,Inactive,"Ogee Black Printed Cotton Swatch","PRTW-D01-SW","799665827915","35"
"PRTW-D21-SW","35","0.9900",,Inactive,"Palu Printed Cotton Swatch","PRTW-D21-SW","799665826710","35"
"PRTW-D27-SW","0","0.9900",,Inactive,"Panama Printed Cotton Swatch","PRTW-D27-SW","799665827038","0"
"PTSCH-13400-SW","0","0.9900",,Active,"Park Avenue Faux Silk Taffeta Stripe Swatch","PTSCH-13400-SW","799665833503","0"
"PRTW-D30-SW","30","0.9900",,Inactive,"Picante Stripes Printed Cotton Swatch","PRTW-D30-SW","799665827274","30"
"PTCH-JTSP104-SW","447","0.9900",,Inactive,"Rum Raisin Faux Silk Taffeta Swatch","PTCH-JTSP104-SW","799665824556","447"
"PRTW-D04-SW","0","0.9900",,Inactive,"Sahara Desert Printed Cotton Swatch","PRTW-D04-SW","799665827632","0"
"BOCH-KC32","72","114.9900",,Inactive,"Savannah Stripe  Blackout Curtain","BOCH-KC32","799665826031","72"
"VPCH601-SW","74","0.0000",,Inactive,"Signature Ivory Blackout Velvet Swatch","VPCH601-SW","799665830663","74"
"SHCH-VOL3-SW","472","0.6000",,Inactive,"Signature Off White Sheer Swatch","SHCH-VOL3-SW","799418015545","472"
"SHCH-VOL1-SW","526","0.6000",,Inactive,"Signature White Sheer Swatch","SHCH-VOL1-SW","799418015538","526"
"SHCH-VOL3-SW","472","0.6000",,Inactive,"Solid Off White Voile Poly Sheer Swatch","SHCH-VOL3-SW","799418015545","472"
"SHCH-VOL1-SW","526","0.6000",,Inactive,"Solid White Voile Poly Sheer Swatch","SHCH-VOL1-SW","799418015538","526"
"PRTW-D22-SW","35","0.9900",,Inactive,"Sorong Printed Cotton Swatch","PRTW-D22-SW","799665826796","35"
"DIS-ID20-SW","30","0.9900",,Active,"Sunrise Gold Textured Dupioni Silk Swatch","DIS-ID20-SW","799665810894","30"
"PRTW-D29B-SW","34","0.9900",,Inactive,"Tide Pools Printed Cotton Swatch","PRTW-D29B-SW","799665827199","34"
"PRTW-D29A-SW","34","0.9900",,Inactive,"Tide Sands Printed Cotton Swatch","PRTW-D29A-SW","799665827113","34"
"SHCH-EMB20132B-SW","187","0.9900",,Inactive,"Vita Off White Embroidered Sheer Swatch","SHCH-EMB20132B-SW","799418016023","187"
"SHCH-EMB20132A-SW","184","0.9900",,Inactive,"Vita Taupe Gold Embroidered Sheer Swatch","SHCH-EMB20132A-SW","799418015996","184"
"PTCH-JTSP207-SW","127","0.9900",,Inactive,"Wisteria Blue Faux Silk Taffeta Swatch","PTCH-JTSP207-SW","799665824310","127"
"PTSCH-12012-SW","27","0.9900",,Active,"Marin Faux Silk Taffeta Stripe Swatch","PTSCH-12012-SW","799665815554","27"
"PTCH-JTSP205-SW","46","0.9900",,Active,"Harvest Orange Faux Silk Taffeta Swatch","PTCH-JTSP205-SW","799665824150","46"
"PTCH-JTSP209-SW","93","0.9900",,Active,"Copper Brown Faux Silk Taffeta Swatch","PTCH-JTSP209-SW","799665824471","93"
"PTCH-JTSP102-SW","305","0.9900",,Active,"Dahlia Faux Silk Taffeta Swatch","PTCH-JTSP102-SW","799665812898","305"
"PTCH-JTSP202-SW","144","0.9900",,Active,"Flamingo Pink Faux Silk Taffeta Swatch","PTCH-JTSP202-SW","799665823917","144"
"PTCH-JTSP203-SW","150","0.9900",,Active,"Fuchsia Rose Faux Silk Taffeta Swatch","PTCH-JTSP203-SW","799665823993","150"
"PTCH-JTSP204-SW","152","0.9900",,Active,"Hollywood Red Faux Silk Taffeta Swatch","PTCH-JTSP204-SW","799665824075","152"
"PTCH-JTSP206-SW","23","0.9900",,Active,"Gold Nugget Faux Silk Taffeta Swatch","PTCH-JTSP206-SW","799665824235","23"
"PTCH-JTSP207-SW","127","0.9900",,Active,"Wisteria Blue Faux Silk Taffeta Swatch","PTCH-JTSP207-SW","799665824310","127"
"PTCH-JTSP208-SW","156","0.9900",,Active,"Emerald Green Faux Silk Taffeta Swatch","PTCH-JTSP208-SW","799665824396","156"
"PTCH-JTSP104-SW","447","0.9900",,Active,"Rum Raisin Faux Silk Taffeta Swatch","PTCH-JTSP104-SW","799665824556","447"
"PTCH-JTSP001-SW","263","0.9900",,Active,"Azul Faux Silk Taffeta Swatch","PTCH-JTSP001-SW","799665824631","263"
"PTCH-JTSP100-SW","146","0.9900",,Active,"Fern Faux Silk Taffeta Swatch","PTCH-JTSP100-SW","799665812836","146"
"PTCH-JTSP005-SW","30","0.9900",,Active,"Graphite Faux Solid Taffeta Swatch","PTCH-JTSP005-SW","799665812812","30"
"VPCH-120601-SW","74","0.9900",,Inactive,"Signature Ivory Velvet Swatch","VPCH-120601-SW","799665830663","74"
"VPCH-120601-SW","74","0.9900",,Active,"Signature Ivory Velvet Swatch","VPCH-120601-SW","799665830663","74"
"BOCH-131009-SW","157","0.9900",,Active,"Biscotti Blackout Swatch","BOCH-131009-SW","799665831226","157"
"BOCH-120601-SW","170","0.9900",,Active,"Eggnog Blackout Swatch","BOCH-120601-SW","799665831196","170"
"PRTW-D17-SW","34","0.9900",,Active,"Cabana Black Printed Cotton Swatch","PRTW-D17-SW","799665827670","34"
"PRTW-D31-SW","35","0.9900",,Active,"Cabana Spice Printed Cotton Swatch","PRTW-D31-SW","799665827359","35"
"PRTW-D26-SW","0","0.9900",,Active,"Deuville Printed Cotton Swatch","PRTW-D26-SW","799665826956","0"
"PRTW-D24A-SW","35","0.9900",,Active,"Ikat Blue Printed Cotton Swatch","PRTW-D24A-SW","799665822972","35"
"PRTW-D13-SW","0","0.9900",,Active,"Jakarta Khaki Printed Cotton Swatch","PRTW-D13-SW","799665827595","0"
"PRTW-D23-SW","33","0.9900",,Active,"Mecca Printed Cotton Swatch","PRTW-D23-SW","799665826871","33"
"PRTW-D06A-SW","35","0.9900",,Active,"Nairobi Desert Printed Cotton Swatch","PRTW-D06A-SW","799665827878","35"
"PRTW-D27-SW","0","0.9900",,Active,"Panama Printed Cotton Swatch","PRTW-D27-SW","799665827038","0"
"PRTW-D22-SW","35","0.9900",,Active,"Sorong Printed Cotton Swatch","PRTW-D22-SW","799665826796","35"
"PRTW-D05-SW","33","0.9900",,Active,"Allium Blue Gray Printed Cotton Swatch","PRTW-D05-SW","799665827953","33"
"PRTW-D09-SW","35","0.9900",,Active,"Bali Red Printed Cotton Swatch","PRTW-D09-SW","799665827557","35"
"PRTW-D15-SW","89","0.9900",,Active,"Cabana Burgundy Printed Cotton Swatch","PRTW-D15-SW","799665827717","89"
"PRTW-D16-SW","0","0.9900",,Active,"Cabana Navy Printed Cotton Swatch","PRTW-D16-SW","799665827755","0"
"PRTW-D32-SW","0","0.9900",,Active,"Cabana Teal Printed Cotton Swatch","PRTW-D32-SW","799665827434","0"
"PRTW-D33-SW","0","0.9900",,Active,"Cabana Yellow Printed Cotton Swatch","PRTW-D33-SW","799665827519","0"
"PRTW-D25-SW","34","0.9900",,Active,"Honeycomb Printed Cotton Swatch","PRTW-D25-SW","799665823139","34"
"PRTW-D24B-SW","35","0.9900",,Active,"Ikat Black Printed Cotton Swatch","PRTW-D24B-SW","799665823054","35"
"PRTW-D12-SW","33","0.9900",,Active,"Impressions Grey Printed Cotton Swatch","PRTW-D12-SW","799665827991","33"
"PRTW-D11-SW","90","0.9900",,Active,"Isles Mustard Printed Cotton Swatch","PRTW-D11-SW","799665828035","90"
"PRTW-D28-SW","34","0.9900",,Active,"Marabella Printed Cotton Swatch","PRTW-D28-SW","799665823214","34"
"PRTW-D02-SW","34","0.9900",,Active,"Mayan Teal Printed Cotton Swatch","PRTW-D02-SW","799665827793","34"
"PRTW-D20-SW","34","0.9900",,Active,"Medina Printed Cotton Swatch","PRTW-D20-SW","799665826635","34"
"PRTW-D06B-SW","34","0.9900",,Active,"Nairobi Denim Printed Cotton Swatch","PRTW-D06B-SW","799665827830","34"
"PRTW-D01-SW","35","0.9900",,Active,"Ogee Black Printed Cotton Swatch","PRTW-D01-SW","799665827915","35"
"PRTW-D21-SW","35","0.9900",,Active,"Palu Printed Cotton Swatch","PRTW-D21-SW","799665826710","35"
"PRTW-D30-SW","30","0.9900",,Active,"Picante Stripes Printed Cotton Swatch","PRTW-D30-SW","799665827274","30"
"PRTW-D04-SW","0","0.9900",,Active,"Sahara Desert Printed Cotton Swatch","PRTW-D04-SW","799665827632","0"
"PRTW-D29B-SW","34","0.9900",,Active,"Tide Pools Printed Cotton Swatch","PRTW-D29B-SW","799665827199","34"
"PRTW-D29A-SW","34","0.9900",,Active,"Tide Sands Printed Cotton Swatch","PRTW-D29A-SW","799665827113","34"
"SHCH-EMB20131A-SW","176","0.9900",,Active,"Florentina White Embroidered Sheer Swatch","SHCH-EMB20131A-SW","799418015934","176"
"SHCH-EMB20131B-SW","168","0.9900",,Active,"Florentina Silver Embroidered Sheer Swatch","SHCH-EMB20131B-SW","799418015965","168"
"SHCH-EMB20132A-SW","184","0.9900",,Active,"Vita Taupe Gold Embroidered Sheer Swatch","SHCH-EMB20132A-SW","799418015996","184"
"SHCH-EMB20132B-SW","187","0.9900",,Active,"Vita Off White Embroidered Sheer Swatch","SHCH-EMB20132B-SW","799418016023","187"
"SHCH-EMB20133A-SW","186","0.9900",,Active,"Contessa Gold Embroidered Sheer Swatch","SHCH-EMB20133A-SW","799418016054","186"
"SHCH-EMB20133B-SW","182","0.9900",,Active,"Contessa Creme Embroidered Sheer Swatch","SHCH-EMB20133B-SW","799418016085","182"
"SHCH-EMBOCS3293-SW","34","0.9900",,Active,"Juliette Ivory Embroidered Sheer Swatch","SHCH-EMBOCS3293-SW","799418016115","34"
"SHCH-EMBOCS3231-SW","34","0.9900",,Active,"Camille Taupe Gold Embroidered Sheer Swatch","SHCH-EMBOCS3231-SW","799418016146","34"
"SHCH-EMBOCS4084-SW","34","0.9900",,Active,"Lunetta Taupe Gold Embroidered Sheer Swatch","SHCH-EMBOCS4084-SW","799418016177","34"
"SHCH-EMBOCS3595-SW","35","0.9900",,Active,"Cleopatra Gold Embroidered Sheer Swatch","SHCH-EMBOCS3595-SW","799418016207","35"
"SHCH-EMB20135-SW","175","0.9900",,Active,"Bella Gold Embroidered Sheer Swatch","SHCH-EMB20135-SW","799418016238","175"
"SHCH-EMB20136-SW","184","0.9900",,Active,"Alegra Gold Embroidered Sheer Swatch","SHCH-EMB20136-SW","799418016269","184"
"SHCH-EMB20137-SW","187","0.9900",,Active,"Esparanza Copper Embroidered Sheer Swatch","SHCH-EMB20137-SW","799418016290","187"
"SHCH-EMB20138-SW","170","0.9900",,Active,"Gia Gold Embroidered Sheer Swatch","SHCH-EMB20138-SW","799418016320","170"
"SHCH-VOL3-SW","472","0.6000",,Inactive,"Solid Off White Voile Poly Sheer Swatch","SHCH-VOL3-SW","799418015545","472"
"SHCH-VOL1-SW","526","0.6000",,Inactive,"Solid White Voile Poly Sheer Swatch","SHCH-VOL1-SW","799418015538","526"
"SHCH-VOL3-SW","472","0.9900",,Active,"Solid Off White Voile Poly Sheer Swatch","SHCH-VOL3-SW","799418015545","472"
"SHCH-VOL1-SW","524","0.9900",,Active,"Solid White Voile Poly Sheer Swatch","SHCH-VOL1-SW","799418015538","524"
"PTSCH-11091-84","0","0.0000",,Active,"Annabelle Faux Silk Taffeta Stripe Curtain","PTSCH-11091-84","610395223467","0"
"PTSCH-11091-96","0","10.0000",,Active,"Annabelle Faux Silk Taffeta Stripe Curtain","PTSCH-11091-96","610395223474","0"
"PTSCH-11091-108","76","20.0000",,Active,"Annabelle Faux Silk Taffeta Stripe Curtain","PTSCH-11091-108","610395223481","76"
"PTSCH-11091-120","0","30.0000",,Active,"Annabelle Faux Silk Taffeta Stripe Curtain","PTSCH-11091-120","610395223498","0"
"VPCH-VET1216-96","130","0.0000",,Active,"Signature Burgundy Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1216-96","610395225003","130"
"VPCH-VET1216-108","149","10.0000",,Active,"Signature Burgundy Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1216-108","610395224983","149"
"VPCH-VET1216-120","53","20.0000",,Active,"Signature Burgundy Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1216-120","610395224990","53"
"VPCH-VET1214-96","109","0.0000",,Active,"Signature Java Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1214-96","610395224969","109"
"VPCH-VET1214-108","128","10.0000",,Active,"Signature Java Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1214-108","610395224945","128"
"VPCH-VET1214-120","44","20.0000",,Active,"Signature Java Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1214-120","610395224952","44"
"DIS-ID15-84","70","0.0000",,Active,"Biscotti Textured Dupioni Silk Curtain","DIS-ID15-84","797734449730","70"
"DIS-ID15-96","52","15.0000",,Active,"Biscotti Textured Dupioni Silk Curtain","DIS-ID15-96","797734449747","52"
"DIS-ID15-108","54","25.0000",,Active,"Biscotti Textured Dupioni Silk Curtain","DIS-ID15-108","797734449754","54"
"DIS-ID15-120","26","35.0000",,Active,"Biscotti Textured Dupioni Silk Curtain","DIS-ID15-120","797734449761","26"
"DIS-ID224-84","0","0.0000",,Active,"Black Textured Dupioni Silk Curtain","DIS-ID224-84","797734449778","0"
"DIS-ID224-96","0","15.0000",,Active,"Black Textured Dupioni Silk Curtain","DIS-ID224-96","797734449785","0"
"DIS-ID224-108","0","25.0000",,Active,"Black Textured Dupioni Silk Curtain","DIS-ID224-108","797734449792","0"
"DIS-ID224-120","0","35.0000",,Active,"Black Textured Dupioni Silk Curtain","DIS-ID224-120","797734449808","0"
"CZCH-CTZ3-84","0","0.0000",,Active,"2-1 Cobblestone Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ3-84","610395221074","0"
"CZCH-CTZ3-120","0","30.0000",,Active,"2-1 Cobblestone Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ3-120","610395221104","0"
"DIS-ID7806-84","21","0.0000",,Active,"Cashmere Textured Dupioni Silk Curtain","DIS-ID7806-84","797734449976","21"
"DIS-ID7806-96","0","15.0000",,Active,"Cashmere Textured Dupioni Silk Curtain","DIS-ID7806-96","797734449983","0"
"DIS-ID7806-108","0","25.0000",,Active,"Cashmere Textured Dupioni Silk Curtain","DIS-ID7806-108","797734449990","0"
"DIS-ID7806-120","0","35.0000",,Active,"Cashmere Textured Dupioni Silk Curtain","DIS-ID7806-120","797734450002","0"
"PTSCH-11087-84","0","0.0000",,Active,"Catalina Faux Silk Taffeta Stripe Curtain","PTSCH-11087-84","610395223429","0"
"PTSCH-11087-96","0","10.0000",,Active,"Catalina Faux Silk Taffeta Stripe Curtain","PTSCH-11087-96","610395223436","0"
"PTSCH-11087-108","0","20.0000",,Active,"Catalina Faux Silk Taffeta Stripe Curtain","PTSCH-11087-108","610395223443","0"
"PTSCH-11087-120","0","30.0000",,Active,"Catalina Faux Silk Taffeta Stripe Curtain","PTSCH-11087-120","610395223450","0"
"CZCH-CTZ12-84","35","0.0000",,Active,"Charcoal Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ12-84","610395220916","35"
"CZCH-CTZ12-96","68","10.0000",,Active,"Charcoal Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ12-96","610395220923","68"
"CZCH-CTZ12-120","0","30.0000",,Active,"Charcoal Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ12-120","610395220947","0"
"DIS-ID124-84","46","0.0000",,Active,"Chocolate Textured Dupioni Silk Curtain","DIS-ID124-84","797734449815","46"
"DIS-ID124-96","36","15.0000",,Active,"Chocolate Textured Dupioni Silk Curtain","DIS-ID124-96","797734449822","36"
"DIS-ID124-108","0","25.0000",,Active,"Chocolate Textured Dupioni Silk Curtain","DIS-ID124-108","797734449839","0"
"DIS-ID124-120","22","35.0000",,Active,"Chocolate Textured Dupioni Silk Curtain","DIS-ID124-120","797734449846","22"
"CZCH-CTZ5-84","0","0.0000",,Active,"2-1 Citron Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ5-84","610395220992","0"
"CZCH-CTZ5-96","41","10.0000",,Active,"2-1 Citron Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ5-96","610395221005","41"
"CZCH-CTZ5-120","41","30.0000",,Active,"2-1 Citron Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ5-120","610395221029","41"
"CZCH-CTZ10-84","0","0.0000",,Active,"2-1 Cocoa Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ10-84","610395221159","0"
"CZCH-CTZ10-96","0","10.0000",,Active,"2-1 Cocoa Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ10-96","610395221166","0"
"CZCH-CTZ10-120","0","30.0000",,Active,"2-1 Cocoa Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ10-120","610395221180","0"
"PTSCH-11093-84","68","0.0000",,Active,"Crockett Faux Silk Taffeta Stripe Curtain","PTSCH-11093-84","797734451788","68"
"PTSCH-11093-96","294","10.0000",,Active,"Crockett Faux Silk Taffeta Stripe Curtain","PTSCH-11093-96","797734451795","294"
"PTSCH-11093-108","124","20.0000",,Active,"Crockett Faux Silk Taffeta Stripe Curtain","PTSCH-11093-108","797734451801","124"
"PTSCH-11093-120","102","30.0000",,Active,"Crockett Faux Silk Taffeta Stripe Curtain","PTSCH-11093-120","797734451818","102"
"DIS-ID112-84","0","0.0000",,Active,"Chili Pepper Textured Dupioni Silk Curtain","DIS-ID112-84","797734450255","0"
"DIS-ID112-96","0","15.0000",,Active,"Chili Pepper Textured Dupioni Silk Curtain","DIS-ID112-96","797734450262","0"
"DIS-ID112-108","0","25.0000",,Active,"Chili Pepper Textured Dupioni Silk Curtain","DIS-ID112-108","797734450279","0"
"DIS-ID112-120","0","35.0000",,Active,"Chili Pepper Textured Dupioni Silk Curtain","DIS-ID112-120","797734450286","0"
"DIS-ID1-84","93","0.0000",,Active,"Lily White Textured Dupioni Silk Curtain","DIS-ID1-84","797734450453","93"
"DIS-ID1-96","129","15.0000",,Active,"Lily White Textured Dupioni Silk Curtain","DIS-ID1-96","797734450460","129"
"DIS-ID1-108","135","25.0000",,Active,"Lily White Textured Dupioni Silk Curtain","DIS-ID1-108","797734450477","135"
"DIS-ID1-120","71","35.0000",,Active,"Lily White Textured Dupioni Silk Curtain","DIS-ID1-120","797734450484","71"
"DIS-ID9-84","31","0.0000",,Active,"Maplewood Textured Dupioni Silk Curtain","DIS-ID9-84","797734450378","31"
"DIS-ID9-96","0","15.0000",,Active,"Maplewood Textured Dupioni Silk Curtain","DIS-ID9-96","797734450385","0"
"DIS-ID9-108","0","25.0000",,Active,"Maplewood Textured Dupioni Silk Curtain","DIS-ID9-108","797734450392","0"
"DIS-ID9-120","0","35.0000",,Active,"Maplewood Textured Dupioni Silk Curtain","DIS-ID9-120","797734450408","0"
"DIS-ID50-84","26","0.0000",,Active,"Mocha Textured Dupioni Silk Curtain","DIS-ID50-84","797734450330","26"
"DIS-ID50-96","47","15.0000",,Active,"Mocha Textured Dupioni Silk Curtain","DIS-ID50-96","797734450347","47"
"DIS-ID50-108","0","25.0000",,Active,"Mocha Textured Dupioni Silk Curtain","DIS-ID50-108","797734450354","0"
"DIS-ID50-120","0","35.0000",,Active,"Mocha Textured Dupioni Silk Curtain","DIS-ID50-120","797734450361","0"
"DIS-ID37-84","22","0.0000",,Active,"Restful Green Textured Dupioni Silk Curtain","DIS-ID37-84","797734450057","22"
"DIS-ID37-96","101","15.0000",,Active,"Restful Green Textured Dupioni Silk Curtain","DIS-ID37-96","797734450064","101"
"DIS-ID37-108","98","25.0000",,Active,"Restful Green Textured Dupioni Silk Curtain","DIS-ID37-108","797734450071","98"
"DIS-ID37-120","33","35.0000",,Active,"Restful Green Textured Dupioni Silk Curtain","DIS-ID37-120","797734450088","33"
